start_station_name,start_lat,start_lng,starts_2013,starts_2018,starts_2023,end_station_name,end_lat,end_lng,ends_2013,ends_2018,ends_2023
Crescent St & Ditmars Blvd,40.778652914703294,-73.91476405608287,,592.0,728.0,Crescent St & Ditmars Blvd,40.77871850067476,-73.91456450067477,,588.0,741
Creston Ave & E 178 St,40.851044267371094,-73.90657909841602,,,512.0,Creston Ave & E 178 St,40.850885,-73.906469,,,485
Creston Ave & E 181 St,40.8537415728468,-73.90361890583755,,,396.0,Creston Ave & E 181 St,40.8549,-73.90281,,,392
Crotona Park East & E 173 St,40.836871397726036,-73.89074409033284,,,685.0,Crotona Park East & E 173 St,40.837037,-73.890413,,,699
Crotona Park North & Prospect Ave,40.84011717442305,-73.89363798822743,,,535.0,Crotona Park North & Prospect Ave,40.841092,-73.892317,,,531
Crown St & Rogers Ave,40.666935580948795,-73.95377085313294,,,677.0,Crown St & Rogers Ave,40.66639,-73.95346,,,696
Cumberland St & Lafayette Ave,40.687982062604426,-73.97266432204337,1085.0,1559.0,2121.0,Cumberland St & Lafayette Ave,40.68753405994467,-73.97265183015676,947.0,1389.0,2169
Cypress Ave & George St,40.69804378579213,-73.90309849673186,,,271.0,Cypress Ave & George St,40.69812,-73.90271,,,279
Cypress Ave & Palmetto St,40.70175993186775,-73.90916900216372,,,378.0,Cypress Ave & Palmetto St,40.70157340873792,-73.90876293182373,,,332
Cypress Ave & St Felix Ave,40.69565758332222,-73.89930919215834,,,120.0,Cypress Ave & St Felix Ave,40.69559,-73.89927,,,114
Cypress Hills St & Otto Rd,40.70212650050542,-73.89373264177236,,,246.0,Cypress Hills St & Otto Rd,40.70204,-73.89288,,,250
Dahill Rd & 12 Ave,40.646715977971105,-73.98109728028277,,,323.0,Dahill Rd & 12 Ave,40.646037,-73.980963,,,324
Davidson Ave & W Burnside Ave,40.852508801880276,-73.90946250992958,,,568.0,Davidson Ave & W Burnside Ave,40.853646,-73.908731,,,567
Dawson St & Intervale Ave,40.81995803548077,-73.89732343579327,,,208.0,Dawson St & Intervale Ave,40.819999,-73.897263,,,207
DeKalb Ave & Franklin Ave,40.69110988065578,-73.95758241122475,,,2561.0,DeKalb Ave & Franklin Ave,40.690648070719746,-73.95746178957674,,,2583
DeKalb Ave & Hudson Ave,40.690149057630734,-73.98085408808755,3114.0,2283.0,3126.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,3245.0,3658.0,3129
DeKalb Ave & S Portland Ave,40.690204478615776,-73.97479018155762,937.0,1689.0,3216.0,DeKalb Ave & S Portland Ave,40.68981034967381,-73.97493120980428,872.0,1604.0,3219
DeKalb Ave & Vanderbilt Ave,40.689791923914555,-73.96891119687766,566.0,1974.0,3558.0,DeKalb Ave & Vanderbilt Ave,40.68940746986749,-73.96885458011842,504.0,1635.0,3547
Dean St & Franklin Ave,40.67797684016607,-73.95583968799845,,1080.0,2343.0,Dean St & Franklin Ave,40.67759206922584,-73.95563721610623,,1076.0,2345
Dean St & Hoyt St,40.68657762986309,-73.9873479720181,,1227.0,1602.0,Dean St & Hoyt St,40.68644419988242,-73.98759103997648,,1252.0,1701
Dean St & Rockaway Ave,40.67483800272534,-73.911292758296,,,125.0,Dean St & Rockaway Ave,40.67486,-73.91123,,,106
Decatur Ave & Bedford Park Blvd,40.86810560545399,-73.8842810328957,,,163.0,Decatur Ave & Bedford Park Blvd,40.86813,-73.88412,,,168
Decatur Ave & E 197 St,40.86536707787519,-73.88830970333485,,,219.0,Decatur Ave & E 197 St,40.86557,-73.88807,,,236
Decatur Ave & Oliver Pl,40.866688357055224,-73.88625997031164,,,169.0,Decatur Ave & Oliver Pl,40.867,-73.88577639537573,,,173
Decatur St & Saratoga Ave,40.683581460844486,-73.91755868959093,,,493.0,Decatur St & Saratoga Ave,40.68332,-73.91711,,,504
Degraw St & 3 Ave,40.680127553971175,-73.9846066861391,,,925.0,Degraw St & 3 Ave,40.67977,-73.9847,,,1040
Degraw St & Hoyt St,40.682240944794444,-73.99058806479458,,788.0,1354.0,Degraw St & Hoyt St,40.68199044270703,-73.99079024791718,,802.0,1381
Degraw St & Smith St,40.68321727812594,-73.99313735986517,,1391.0,1874.0,Degraw St & Smith St,40.68291509984102,-73.99318207987281,,1400.0,1887
Delancey St & Eldridge St,40.71942753478261,-73.99146822829742,,,3703.0,Delancey St & Eldridge St,40.719383,-73.991479,,,3757
Devoe St & Lorimer St,40.71361627741593,-73.94916718710391,,253.0,2577.0,Devoe St & Lorimer St,40.71335226212672,-73.94910335526941,,243.0,2570
Devoe St & Morgan Ave,40.7139611502187,-73.93551836824825,,,1105.0,Devoe St & Morgan Ave,40.713811,-73.93515,,,1088
Dey St,,,,,,Dey St,40.737711,-74.066921,,,8
Ditmars Blvd & 19 St,40.78107953426107,-73.91876933664679,,896.0,369.0,Ditmars Blvd & 19 St,40.78145,-73.91833019947369,,898.0,380
Ditmars Blvd & 43 St,40.770836648927606,-73.90431020834147,,,861.0,Ditmars Blvd & 43 St,40.771203,-73.903865,,,812
Ditmars Blvd & 48 St,40.76864945174574,-73.90290916493024,,,430.0,Ditmars Blvd & 48 St,40.769219,-73.901001,,,439
Ditmars Blvd & 73 St,40.76817301603571,-73.89633525730358,,,56.0,Ditmars Blvd & 73 St,40.76816999999999,-73.896293,,,60
Ditmars Blvd & 76 St,40.76774544792023,-73.89630891595156,,,117.0,Ditmars Blvd & 76 St,40.768442,-73.893531,,,119
Ditmars Blvd & 79 St,40.76853337288634,-73.89150017311601,,,566.0,Ditmars Blvd & 79 St,40.768728,-73.890745,,,544
Division Ave & Hooper St,40.707009538795255,-73.95456027390296,,567.0,1555.0,Division Ave & Hooper St,40.70684203093238,-73.95443539550172,,541.0,1534
Division Ave & Marcy Ave,40.7076299460724,-73.95795729715549,,409.0,686.0,Division Ave & Marcy Ave,40.70708700998466,-73.95796783026074,,388.0,652
Division St & Bowery,40.714328204073496,-73.99651188582473,1886.0,3699.0,3937.0,Division St & Bowery,40.714193,-73.996732,1988.0,3772.0,3972
Dixon Mills,,,,,,Dixon Mills,40.721630142638354,-74.04996782541275,,,1
Dock 72 Way & Market St,40.69998209344021,-73.9712928867701,,,2127.0,Dock 72 Way & Market St,40.69985,-73.97141,,,2248
Dock St & Front St,40.70292173835674,-73.99239122807117,,,2492.0,Dock St & Front St,40.702709,-73.99253,,,2533
Douglass St & 3 Ave,40.680606650329985,-73.98431544362208,,1466.0,2789.0,Douglass St & 3 Ave,40.68021329989208,-73.98432695001797,,1564.0,2780
Douglass St & 4 Ave,40.679464130583725,-73.98144315979509,,1195.0,2110.0,Douglass St & 4 Ave,40.67927880009439,-73.98154003998113,,1347.0,2119
